trnOpDate,staCode,gateInComingCnt,gateOutGoingCnt
20240105,1220,1759,1500
20240105,1230,702,720
20240105,1240,299,311
20240105,1250,9955,10497
20240105,2110,43,37
20240105,2120,87,114
20240105,2130,2010,1264
20240105,2140,65,30
20240105,2150,454,543
20240105,2160,43,46
20240105,2170,761,882
20240105,2180,1692,1931
20240105,2190,278,347
20240105,2200,2564,2896
20240105,2210,90,112
20240105,2220,1227,1664
20240105,2230,2883,3024
20240105,2240,465,531
20240105,2250,666,802
20240105,2260,773,437
20240105,3140,410,449
20240105,3150,1038,1038
20240105,3160,6805,6896
20240105,3170,207,169
20240105,3180,904,986
20240105,3190,751,888
20240105,3210,624,716
20240105,3220,2542,2447
20240105,3230,7773,9407
20240105,3240,1018,1035
20240105,3250,2346,2665
20240105,3260,689,816
20240105,3270,2795,3045
20240105,3280,2263,2461
20240105,3290,1604,1676
20240105,3300,24467,25992
20240105,3310,2071,2053
20240105,3320,3859,3450
20240105,3330,610,708
20240105,3340,9986,7067
20240105,3350,988,1247
20240105,3360,12802,14580
20240105,3370,1089,1458
20240105,3380,824,909
20240105,3390,7469,9211
20240105,3400,492,718
20240105,3410,1099,1363
20240105,3420,2345,3103
20240105,3430,1041,1206
20240105,3431,10,33
20240105,3432,56,86
20240105,3433,14,36
20240105,3434,291,188
20240105,3435,66,117
20240105,3436,64,99
20240105,3450,786,1025
20240105,3460,173,202
20240105,3470,5985,6113
20240105,3480,2138,2503
20240105,3490,142,171
20240105,4050,2253,1711
20240105,4060,2572,1922
20240105,4070,801,953
20240105,4080,10459,10975
20240105,4090,722,801
20240105,4100,171,275
20240105,4110,637,674
20240105,4120,5416,6084
20240105,4130,1389,1046
20240105,4140,550,681
20240105,4150,1692,1418
20240105,4160,212,184
20240105,4170,4148,4007
20240105,4180,1972,1498
20240105,4190,3002,2538
20240105,4200,3763,3408
20240105,4210,5019,4153
20240105,4220,27317,27203
20240105,4250,2023,1436
20240105,4260,919,919
20240105,4270,503,481
20240105,4271,1020,635
20240105,4272,3253,3460
20240105,4290,2965,2403
20240105,4300,1843,1915
20240105,4310,3217,3002
20240105,4320,1636,1819
20240105,4330,2971,2637
20240105,4340,13068,12875
20240105,4350,842,874
20240105,4360,1044,1098
20240105,4370,1612,1749
20240105,4380,505,560
20240105,4390,730,794
20240105,4400,13997,14904
20240105,4410,1023,1064
20240105,4420,1938,1754
20240105,4430,1689,1669
20240105,4440,6726,6336
20240105,4450,708,795
20240105,4460,1341,1328
20240105,4470,171,183
20240105,5000,10664,11527
20240105,5010,262,262
20240105,5020,219,228
20240105,5030,968,1000
20240105,5040,296,295
20240105,5050,3719,4538
20240105,5060,236,202
20240105,5070,699,611
20240105,5080,41,43
20240105,5090,511,622
20240105,5100,164,206
20240105,5110,72,73
20240105,5120,1080,1244
20240105,5130,1,1
20240105,5160,2,1
20240105,5190,230,272
20240105,5200,18,45
20240105,5210,613,650
20240105,5220,220,288
20240105,5230,1009,719
20240105,5240,25,19
20240105,6000,5527,4972
20240105,6010,4,6
20240105,6020,173,213
20240105,6030,45,53
20240105,6040,11,5
20240105,6050,569,714
20240105,6060,4,6
20240105,6070,507,640
20240105,6080,225,214
20240105,6090,14,13
20240105,6100,16,17
20240105,6110,1364,1507
20240105,6120,11,12
20240105,6130,689,685
20240105,6140,31,61
20240105,6150,3,7
20240105,6160,469,597
20240105,6170,40,65
20240105,6180,385,463
20240105,6190,19,29
20240105,6200,18,37
20240105,6210,47,51
20240105,6220,384,415
20240105,6230,4,11
20240105,6240,744,427
20240105,6250,624,607
20240105,7000,11949,10562
20240105,7010,190,179
20240105,7020,15,14
20240105,7030,869,870
20240105,7040,28,29
20240105,7050,46,55
20240105,7060,862,889
20240105,7070,15,11
20240105,7080,8,14
20240105,7090,906,978
20240105,7100,194,214
20240105,7110,11,11
20240105,7120,605,600
20240105,7130,764,801
20240105,7150,580,617
20240105,7160,5124,5349
20240105,7170,57,52
20240105,7180,147,187
20240105,7190,4913,4507
20240105,7200,173,152
20240105,7210,1991,2115
20240105,7220,132,134
20240105,7230,1232,1338
20240105,7240,94,104
20240105,7250,85,77
